question,choices,answer,subject,explaination
What is the purpose of the Wake-up signalling feature in NB-IoT? [3GPP Release 15],"['To instruct the UE to regularly check for paging messages', 'To reduce UE power consumption by allowing the UE to skip paging procedures', 'To enhance the Rel-13/14 NB-IoT air interface and protocol layers', 'To support small cells and extensions to NB-IoT standalone operation mode', 'To increase the accuracy of narrowband measurement']",1,Standards overview,"The Wake-up signalling feature allows the eNB to send the UE a wake-up signal to instruct the UE to monitor NPDCCH for paging, and otherwise allows the UE to skip the paging procedures. This helps to reduce UE power consumption."
What is the benefit of using EH (energy harvesting) relays in SWIPT (Simultaneous wireless information and power transfer) networks?,"['Increasing the battery lifetime of the relays', 'Decreasing the outage probability', 'Improving reception reliability', 'All of the above']",3,Research publications,"Using EH relays in SWIPT networks can increase the battery lifetime of the relays, decrease the outage probability, and improve reception reliability."
What can be used to mitigate interference in co-existing RF-based imaging and communication systems?,"['Resource scheduling and multiple access mechanisms', 'Higher power RF signals', 'Longer exposure time', 'Wider communication channels', 'Higher-resolution optical cameras']",0,Research publications,"Resource scheduling and multiple access mechanisms such as TDMA, CSMA/CA, and NOMA can be used to mitigate interference between RF-based imaging and communication systems."
What are 3D aerial highways?,"['Highways where drones can fly at high speeds', 'Highways designed for autonomous delivery trucks', 'Highways designed for aerial delivery vehicles in 3D space', 'Highways with multiple lanes for aerial vehicles']",2,Research publications,"3D aerial highways are designed specifically for aerial delivery vehicles, allowing them to operate in 3D space and enabling scalable retail solutions."
What is the main purpose of the hotspot tier in a cellular network?,"['To provide ubiquitous coverage and support mobility', 'To reduce the pressure on the coverage tier', 'To improve the spectral efficiency', 'To deliver a uniform service quality within each cell', 'Not mentioned in the document']",1,Research publications,"According to Remark 1.1, the main purpose of the hotspot tier is to reduce the pressure on the coverage tier by offloading a large portion of the traffic from low-mobility UEs."
How is an active scan initiated? [IEEE 802.15.4],"['Beacon Request command', 'Enhanced Beacon Request command', 'PAN descriptor structure', 'ScanType parameter']",0,Standards specifications,An active scan is initiated using a Beacon Request command.
What are the potential adversaries in federated learning that privacy-preserving encoding methods need to protect against?,"['The server and malicious users', 'The server and external adversaries', 'Malicious users and external adversaries', 'The server, malicious users, and external adversaries', 'Only the server']",3,Research publications,"Privacy-preserving encoding methods in federated learning need to protect against the server, malicious users, and external adversaries."
What technique is used to synchronize the views of multiple controllers in the distributed control plane?,"['Optimal placement of multiple controllers', 'Dynamic control traffic balancing', 'Distributed controller consensus', 'Multi-user detection for downlink receivers', 'Anticipatory mobility management and intelligent resource allocation']",2,Research publications,Distributed controller consensus is used to synchronize the views of multiple controllers in the distributed control plane.
What information does IEAF need to determine the S-NSSAI for the AIML Application Service Provider? [3GPP Release 18],"['UE IP address', 'Analytics ID', 'Application ID', 'DNN', 'Network consent']",2,Standards specifications,IEAF needs the Application ID to determine the S-NSSAI for the AIML Application Service Provider.
What does the abbreviation HLR stand for?,"['Host Location Routing', 'Home Link Router', 'Home Location Register', 'Hotspot Link Rotation']",2,Lexicon,HLR stands for Home Location Register which is a database that contains subscriber-related information.
What is a Supplicant?,"['An entity at one end of a point-to-point LAN segment that is being authenticated by a Supplicant attached to the other end of that link.', 'An entity at one end of a point-to-point connection that is being authenticated by a Supplicant attached to the other end of that link.', 'An entity at one end of a point-to-multipoint LAN segment that is being authenticated by an Authenticator attached to the other end of that link.', 'An entity at one end of a point-to-multipoint connection that is being authenticated by a Supplicant attached to the other end of that link.', 'An entity at one end of a point-to-point LAN segment that is being authenticated by an Authenticator attached to the other end of that link.']",4,Lexicon,Supplicant is an entity at one end of a point-to-point local area network (LAN) segment that is being authenticated by an Authenticator attached to the other end of that link.
What will be a key driver in 6G pushing the limit further for latency?,"['Increased battery life of user equipment', 'Integration with satellites for global mobile coverage', 'Ultra-reliable low-latency communication (URLLC)', 'Contextual information obtained by radars', 'Artificial intelligence (AI)']",2,Research publications,"Ultra-reliable low-latency communication (URLLC) will be a key driver in 6G, pushing the limit further to require latency of less than 1 ms."
Which protocol allows domain owners to create records associating domain names with authorized message senders?,"['DMARC', 'DKIM', 'S/MIME', 'SPF', 'DNSSEC']",3,Research publications,Sender Policy Framework (SPF) allows domain owners to create records that associate domain names with authorized message senders.
Which TSGs (Technical Support Groups) are responsible for conformance testing of UEs and base stations?,"['Radio Access Network (RAN) TSGs', 'Service and System Aspects (SA) TSGs', 'Core Network and Terminals (CT) TSGs', 'RAN WG 5', 'SA WG 5']",0,Standards overview,RAN TSGs are responsible for the conformance testing of UEs and base stations.
What is the purpose of CDRs in offline charging? [3GPP Release 18],"['To reserve credit from the subscriber account', 'To furnish charging information to the OCS/CCS for Credit-Control', 'To determine the amount of resources a user will consume', 'To supervise the actual network resource consumption', 'To transform charging information into CDRs for generating bills']",4,Standards specifications,CDRs in offline charging are created to transform charging information into post-processed records that are used for generating bills.
What is the granularity of the 5GS TSN bridge? [3GPP Release 18],"['Per UPF', 'Per UE', 'Per TSN network', 'Per TSN AF']",0,Standards specifications,The granularity of the 5GS TSN bridge is per UPF for each network instance or DNN/S-NSSAI.
What is the error probability pe in terms of SNR (Signal-to-Noise Ratio) for the orthogonal modulation scheme?,"['1 - SNR', '1 / (1 + SNR)', '(2 + SNR) / SNR', '(2 - SNR) / SNR', 'SNR / (2 + SNR)']",1,Research publications,The error probability pe for the orthogonal modulation scheme is given by 1 / (1 + SNR).
What are the two types of communications classified within the IEEE 802.15.6 standard?,"['Human-body communications and wide band communications', 'Narrow band communications and ultra-wide band communications', 'Short-range communications and long-range communications', 'Medical communications and non-medical communications']",1,Research publications,The IEEE 802.15.6 standard classifies communications as narrow band (NB) communications and ultra-wide band communications (UWB).
What does NFV (Network Function Virtualization) enable in the Frugal 5G network?,"['Wireless Backhaul Integration', 'Multi-operator resource sharing', 'Localized communication support', 'Cloud-AN communication', 'Flexible Fog control']",4,Standards overview,The usage of NFV in AN and CN allows for a flexible instantiation of functions across Fog and Cloud.
What is the recommended guard time for OFDM systems? [IEEE 802.11],"['40-70 ns', '200 ns', '800 ns', '1 µs']",2,Standards overview,"The guard time in OFDM systems is recommended to be two to four times the average delay spread, which results in a guard time of 800 ns."
What is the primary goal of distributed consensus control in IoT (Internet-of-Things) applications?,"['Data privacy enhancement', 'Fast model update aggregation', 'Alleviating congestion of the air interface', 'Reaching an agreement over common variables', 'Updating the global model']",3,Research publications,The primary goal of distributed consensus control in IoT applications is reaching an agreement over a set of variables of common interest.
Why is edge computing more competent than cloud computing for AI (artificial intelligence) democratization?,"['Edge computing is more affordable and accessible', 'Edge computing is closer to people, data, and devices', 'Edge computing provides more diverse application scenarios', 'All of the above', 'None of the above']",3,Research overview,"Edge computing is more affordable and accessible, closer to people, data, and devices, and provides more diverse application scenarios, making it more competent for AI democratization."
Which of the following physical signals are used by the physical layer but do not carry information originating from higher layers? [3GPP Release 17],"['Phase-tracking reference signals (PT-RS)', 'Channel-state information reference signals (CSI-RS)', 'Demodulation reference signals (DM-RS)', 'Sidelink primary synchronization signal (S-PSS)', 'Sidelink secondary synchronization signal (S-SSS)']",2,Standards specifications,Demodulation reference signals (DM-RS) are used by the physical layer but do not carry information originating from higher layers.
Which protocol stack is used for the S5 interface? [3GPP Release 17],"['S1AP protocol stack', 'X2AP protocol stack', 'SGi protocol stack', 'S5 protocol stack', 'None of the above']",4,Standards specifications,The protocol stack for the S5 interface can be found in TS 29.281 [47] for the user plane and in TS 29.274 [40] for the control plane.
What do representations in causal representation learning correspond to?,"['Pixel values in an image', 'Instances of latent causal variables', 'Labels of data points', 'Specific features of interest in the data']",1,Research publications,"In causal representation learning, representations correspond to instances of typically latent causal variables."
What is a common approach to maintain the repeatability and configurability of simulation environments while maintaining a high level of realism of a testbed?,"['Channel experimentation', 'Channel simulation', 'Channel emulation', 'Signal propagation modeling', 'Frame reception rate analysis']",2,Research publications,"Channel emulation is an approach that uses parts of the real communication systems in conjunction with simulated ones to maintain the repeatability and configurability of simulation environments, combined with a high level of realism of a testbed."
Why is it important for services to remain in close proximity to their end users in real-time applications?,"['To reduce communication latency', 'To ensure high bandwidth connectivity', 'To enable low latency', 'To enhance object recognition', 'To improve safety in intelligent transportation systems']",2,Research publications,"In real-time applications, such as instantaneous object recognition and safety assistance in intelligent transportation systems, services need to remain in close proximity to their end users to ensure low latency."
Which technologies can Multi-access Edge Computing (MEC) be applied to?,"['Cellular only', 'WiFi only', 'Fixed access technologies only', 'Cellular, WiFi, and fixed access technologies', 'Cellular and WiFi only']",3,Research publications,"Multi-access Edge Computing (MEC) can be applied to various network scenarios, including cellular, WiFi, and fixed access technologies."
What is the size of the TK (temporal key) used with TKIP for providing confidentiality and integrity protection for unicast user traffic?,"['128 bits', '256 bits', '384 bits', '512 bits', '40, 104 bits']",1,Research publications,The TK used with TKIP for providing confidentiality and integrity protection for unicast user traffic is 256 bits.
What does the common charging architecture provide? [3GPP Release 18],"['Physical mapping of charging functions', 'Logical view of charging functions', 'Actual implementation of charging functions', 'Detailed specifications for charging functions']",1,Standards specifications,The common charging architecture provides only a common logical view of charging functions.
Which relaying method forwards each transmitted bit of the source without error correction?,"['Decode-and-forward', 'Amplify-and-forward', 'Bit-detect-and-forward']",2,Research publications,The bit-detect-and-forward method forwards each transmitted bit of the source to the next relay without applying any error correction.
What does the quality factor (Q) represent in wireless charging systems?,"['The energy stored in the resonator over the energy provided by a generator', 'The energy transfer efficiency between transmit and receive coils', 'The power delivered to the receiver', 'The resistance of the transmit and receive coils']",0,Research overview,The quality factor (Q) represents the energy stored in the resonator over the energy provided by a generator.
Which bearer option supports the SeNB being directly connected with the S-GW via S1-U? [3GPP Release 17],"['MCG bearer', 'SCG bearer', 'Split bearer', 'Primary bearer']",1,Standards specifications,The SCG bearer option allows the SeNB to be directly connected with the S-GW via S1-U.
What type of scenarios can be applied in the map-based hybrid model? [3GPP Release 17],"['Only LOS scenarios', 'Only NLOS scenarios', 'Both LOS and NLOS scenarios', 'None of the above']",2,Standards specifications,Both LOS (Line-of-Sight) and NLOS (Non-Line-of-Sight) scenarios can be applied in the map-based hybrid model.
What is the Moreau subdifferential of a function?,"['The set of all vectors that allow the function to be convex', 'The set of all vectors that allows the function to be differentiable', 'The set of all vectors such that the function value can be decreased by taking a small step in that direction', 'The set of all vectors such that the function value can be increased by taking a small step in that direction', 'The set of all vectors that are orthogonal to the graph of the function']",2,Research publications,The Moreau subdifferential of a function at a point is the set of all vectors such that the function value can be decreased by taking a small step in that direction. It characterizes the subgradients of the function at that point.
Which deployment scenario involves selecting landmarks for mobile chargers to visit by turns?,"['Static Wireless Charger Deployment', 'Mobile Wireless Charger Deployment', 'Multihop Provisioning Scenario', 'Landmark Provisioning Scenario', 'Point Provisioning Scenario']",3,Research overview,Landmark Provisioning Scenario involves selecting landmarks for mobile chargers to visit by turns.
Which impairments are encountered in Free Space Optical channel links?,"['Fluctuations in the received signal due to turbulence, wind, and pressure fluctuations', 'Irregularities in temperature', 'Beam pointing errors', 'All of the above', 'None of the above']",3,Research overview,The document mentions that all of these impairments are encountered in Free Space Optical channel links.
What is the purpose of the work item 5G_HYPOS? [3GPP Release 16],"['To specify functional requirements and KPIs for enhanced positioning services in 5G systems', 'To define the service-based architecture and procedures for location services in the 5G system', 'To support accurate UE positioning in NR technology by utilizing RAT-dependent and RAT-independent solutions', 'To specify the framework for NR based positioning of UEs', 'To enable enhanced and more accurate positioning in 5G systems']",0,Standards overview,The work item 5G_HYPOS provides the stage 1 specifications to enable enhanced and more accurate positioning in 5G systems.
"According to the document, the time constant for synapse effects is ______. [IEEE C95.1]","['14 ms', '25 ms', '36 ms', '20 Hz', '760 Hz']",1,Standards specifications,The document states that the average S-D time constant for synapse effects is τe = 25 ms.
What is the term Wireless for ML meant to capture?,"['Wireless data transmission protocols for ML models', 'Wireless communication techniques for model training', 'Wireless data collection methods for supervised learning', 'Wireless inference algorithms for distributed datasets', 'Wireless technologies for machine learning applications']",4,Research publications,"The term Wireless for ML is meant to capture any wireless technology tailored to solve a machine learning problem, including model training, data collection, and inference."
What is the difference between contiguous Holographic MIMO Surfaces (HMIMOS) and discrete Holographic MIMO Surfaces (HMIMOS)?,"['Contiguous Holographic MIMO Surfaces (HMIMOS) integrates a virtually infinite number of elements, while discrete Holographic MIMO Surfaces (HMIMOS) is composed of low-power software-tunable metamaterials', 'Contiguous Holographic MIMO Surfaces (HMIMOS) uses low cost passive elements, while discrete Holographic MIMO Surfaces (HMIMOS) requires dedicated power sources', 'Contiguous Holographic MIMO Surfaces (HMIMOS) requires sophisticated signal processing, while discrete Holographic MIMO Surfaces (HMIMOS) can work without signal processing', 'Contiguous Holographic MIMO Surfaces (HMIMOS) has a continuous aperture, while discrete Holographic MIMO Surfaces (HMIMOS) has a discrete aperture']",3,Research publications,"The main difference between contiguous Holographic MIMO Surfaces (HMIMOS) and discrete Holographic MIMO Surfaces (HMIMOS) is that the former has a continuous aperture, while the latter has a discrete aperture."
Which organization developed the EIA-232E standard?,"['EIA', 'CCITT', 'ISO', 'US Electronics Industries Association', 'ANSI']",3,Research publications,The EIA-232E standard was developed by the US Electronics Industries Association.
What is one way to reduce the backhaul delay in 5G networks?,"['Using HAEC boxes for processing', 'Increasing the computational power of different nodes', 'Implementing SDN in the core network', 'Using optical transport as the backhaul medium', 'Enabling network slicing']",3,Research publications,Using optical transport as the backhaul medium can reduce the backhaul delay in 5G networks
What can be used to facilitate fault detection and diagnosis in an SICN (satellite-integrated CN)?,"['Internet control message protocol (ICMP)', 'Simple network management protocol (SNMP)', ""SNMP's management information base (MIB)"", 'All of the above']",3,Research publications,"Fault detection and diagnosis in an SICN can be facilitated using Internet control message protocol (ICMP), simple network management protocol (SNMP), and SNMP's management information base (MIB)."
What is the main advantage of RNNs (recurrent neural networks) for wireless applications?,"['Effective in learning complex functions', 'Ability to process continuous data', 'Ability to find low-dimensional representations of high-dimensional data', 'Ability to cope with dynamic network behavior']",3,Research overview,RNNs are effective in processing time-related data such as wireless traffic and capturing dynamic temporal behaviors.
What is an example of a parameter that can be adjusted in the stochastic UCL (upper credible limit) algorithm to model decision noise?,"['Mean reward', 'Cooling temperature', 'Spatial correlation length scale', 'Prior covariance']",1,Research overview,The document states that the decision noise in the stochastic UCL algorithm can be modeled by adjusting the cooling temperature parameter. The other options do not relate to the concept of decision noise.
What is the purpose of the 'Echo request/reply' message in ICMP? [TCP/IP],"['To notify the source host that the destination host is unreachable', 'To request a reply from the destination host', 'To indicate the type of ICMP message being sent', ""To request the destination host's address mask"", 'To notify the source host that the IP packet size is too large for the network']",1,Standards overview,The 'Echo request/reply' message in ICMP is used to request a reply from the destination host. The reply contains the same data as the request.
What does the densification ratio serve as?,"['A metric for differentiating between sparse and ultra-dense infrastructure deployments', 'The maximum achievable rate for each user', 'The number of OFDMA subchannels', 'The minimum required densification ratio']",0,Research publications,The densification ratio serves as a metric for differentiating between sparse and ultra-dense infrastructure deployments.
What is the meaning of RE power control dynamic range?,"['The mean power of a UTRA carrier as measured through a root raised cosine filter.', 'The difference between the power of a RE and the average RE power for a BS at maximum output power.', 'The noise figure of the receiving system referenced to the receiver input.', 'The bandwidth in which an emission level is specified.', 'The ratio between the received energy per information bit to the total effective noise and interference power density.']",1,Lexicon,RE power control dynamic range refers to the difference between the power of a RE (Radio Equipment) and the average RE power for a BS at maximum output power for a specified reference condition.
What are the advantages of JCAS (Joint communication and sensing) systems?,"['Doubling the spectral efficiency, improved beamforming efficiency, reduced cost/size, and mutual benefits to C&S', 'Improved security, increased data rates, reduced cost/size, and improved beamforming efficiency', 'Doubling the spectral efficiency, increased data rates, reduced latency, and improved beamforming efficiency', 'Reduced hardware cost, improved beamforming efficiency, increased data rates, and improved security']",0,Research overview,"The advantages of JCAS systems include doubling the spectral efficiency, improved beamforming efficiency, reduced cost/size, and mutual benefits to communication and sensing functions."
What is the delay-limited capacity?,"['The maximum achievable rate by using the waterfilling power allocation.', 'A measure of performance in applications with very tight delay constraints.', 'The same as the waterfilling capacity.', 'The capacity of the fading channel at high SNR.', 'A measure of performance in applications with no fading.']",1,Research publications,The delay-limited capacity is a measure of performance in applications with very tight delay constraints.
What happens to the coverage probability as the constellation height increases?,"['The coverage probability increases', 'The coverage probability decreases', 'The coverage probability remains the same', 'The coverage probability fluctuates', 'The coverage probability depends on the number of satellites']",1,Research publications,"As the constellation height increases, the coverage probability decreases, as shown in Figure 6."
What can be said about the frequency representation in graph signal processing (GSP)?,"['The frequencies are ordered based on their values', 'The frequencies are closely related to the degrees of the vertices', 'The frequencies are irregular and do not have a clear ordering', 'The frequencies are constant and do not change']",2,Research overview,The frequencies in GSP are often irregular and do not have a clear ordering.
How is the Push-Sum iteration implemented?,"['By broadcasting values to out-neighbors and summing the received values', 'By broadcasting values to in-neighbors and summing the received values', 'By sending messages to all neighbors and receiving messages from all neighbors', 'By maintaining a doubly stochastic matrix']",0,Research overview,The Push-Sum iteration is implemented by each node broadcasting values to its out-neighbors and summing the received values.
Why have full-duplex (FD) systems been considered impractical for many years?,"['They require too much power to operate', 'They require too much bandwidth to operate', 'The signal leakage from the local output to input overwhelms the receiver', 'They are more expensive to implement', 'None of the above']",2,Research publications,"Full-duplex (FD) systems were considered impractical because the signal leakage from the local output to input would overwhelm the receiver, making it impossible to extract the desired signal."
What is the limiting distribution of an irreducible recurrent Markov process?,"['It does not exist', 'It is dependent on the initial conditions of the process', 'It is independent of the initial conditions of the process', 'It is zero for all states']",2,Research publications,The limiting distribution of an irreducible recurrent Markov process exists and is independent of the initial conditions of the process.
Which of the following is not one of the three key components of cooperative spectrum sensing?,"['Signal detection techniques', 'Hypothesis testing', 'Data fusion', 'Channel gain estimation']",3,Research overview,"The three key components are signal detection techniques, hypothesis testing, and data fusion."
What does the ECAPC Policy Enforced subfield indicate in a DMG Beacon frame? [IEEE 802.11],"['The start time of the BSS as an AP', 'The availability of the ClusterMaxMem field', 'The enforcement of clustering policies', 'The MAC address of the CCSS', 'The duration of the Beacon SP']",2,Standards specifications,The ECAPC Policy Enforced subfield in a DMG Beacon frame indicates the enforcement of clustering policies.
Why does the zero-wait sampling policy not always minimize the Age of Information (AoI)?,"['Because it does not achieve the maximum throughput', 'Because it does not minimize the delay', 'Because it does not take into account the service times of the samples', 'Because it does not provide fresh information to the monitor']",3,Research publications,"In status update systems, a sample packet is useful only if it carries fresh information to the monitor. The zero-wait sampling policy can generate multiple samples at the same time, which do not provide any new information to the monitor."
What are some ways to achieve data integrity in resource-constrained IoT (Internet of Thing) networks?,"['Relaxing the proof of work.', 'Maintaining all blocks.', 'Chaining only the last l blocks.', 'Using consensus methods with lower computational requirements.', 'All of the above.']",4,Research publications,"To achieve data integrity in resource-constrained IoT networks, one can relax the proof of work, maintain all blocks, chain only the last l blocks, or use consensus methods with lower computational requirements."
What are the three steps involved in generating the final development dataset for each DeepSense scenario?,"['Real-world data collection, data processing, and data filtering', 'Sensor calibration, data normalization, and feature extraction', 'Machine learning, deep learning, and data analysis', 'Data visualization, model training, and performance evaluation', 'None of the above']",0,Research publications,"The process of generating the final development dataset for each DeepSense scenario involves three steps: real-world data collection, data processing, and data filtering."
What are the NFV management and orchestration capabilities that can be leveraged for applying energy efficiency policies? [ETSI NFV Release 5],"['There are no NFV management and orchestration capabilities that can be used for energy efficiency policies.', 'NFV management and orchestration capabilities can be used to adjust power states of NFVI resources.', 'NFV management and orchestration capabilities can be used to optimize VNF/NS placement based on power consumption savings.', 'Both option 2 and option 3 are correct.']",3,Standards overview,NFV management and orchestration capabilities can be used to adjust power states of NFVI resources and optimize VNF/NS placement based on power consumption savings.
What are the three standardized schemes that are focused on security at the transport layer?,"['TCP, IP, and HTTP', 'SSL/TLS, HTTPS, and SSH', 'DNS, FTP, and SMTP', 'POP3, ICMP, and SNMP', 'ARP, DHCP, and WPA']",1,Research publications,"The three standardized schemes focused on security at the transport layer are SSL/TLS, HTTPS, and SSH."
Which battery technology is known to be vulnerable to exposure to the outside environment?,"['Lithium-ion batteries', 'Hydrogen fuel cell batteries', 'Lithium-sulfur batteries', 'Lithium-air batteries', 'Solid state batteries']",3,Research publications,"According to the document, lithium-air batteries are known to be very vulnerable to exposure to the outside environment."
Which IEEE committee is responsible for Token Bus Networks?,"['802.1 High-Level Interface', '802.2 Logical Link Control (LLC)', '802.4 Token Bus Networks', '802.5 Token Ring Networks', '802.6 Metropolitan Area Networks (MANs)']",2,Research publications,The IEEE 802.4 committee is responsible for Token Bus Networks.
What is the mutual information between two independent random variables X and Y?,"['I(X;Y) = 0', 'I(X;Y) = 1', 'I(X;Y) = infinity', 'I(X;Y) = -infinity']",0,Research publications,The mutual information between two independent random variables X and Y is 0.
What is the main driver for the increase of both wired and wireless data traffic?,"['Tablet computers', 'Social networks', 'Movie streaming', 'Large-screen phones', 'Wireless networks']",2,Research publications,"Video transmission, especially movie streaming, is the main driver for the increase of both wired and wireless data traffic."
What is the main advantage of 6G's 3D network architecture?,"['Providing three-dimensional coverage by complementing terrestrial infrastructures with non-terrestrial platforms.', 'Real-time network management through distributed artificial intelligence methods.', 'Low-cost distributed platforms with minimal processing for dense network deployments.', 'Increased access points and capacity in the transport network for higher data rates.', 'Energy-awareness in network design for low power consumption operations.']",0,Research publications,"6G's 3D network architecture complements terrestrial infrastructures with non-terrestrial platforms, such as drones, balloons, and satellites, to provide three-dimensional coverage and ensure seamless service continuity and reliability."
When is the Connection Resume procedure used by a UE? [3GPP Release 18],"['When the UE is in CM-CONNECTED with RRC_INACTIVE state and upper layers or the AS requests the resumption of a suspended RRC connection', 'When the UE is in CM-IDLE with Suspend and user data transmission is required', 'When the UE is disconnected from the network and needs to establish a secure connection', 'When the UE is in CM-CONNECTED with RRC_CONNECTED state and the AMF requests the resumption of a secure connection']",0,Standards specifications,The Connection Resume procedure is used by a UE when it is in CM-CONNECTED with RRC_INACTIVE state and upper layers or the AS requests the resumption of a suspended RRC connection.
What is the principal goal of improving the spectral efficiency in future cellular networks?,"['To increase the number of BSs and bandwidth', 'To make more efficient use of the existing BSs and bandwidth', 'To enable the use of mmWave bands in the coverage tier', 'To reduce the average inter-BS distance in the hotspot tier', 'Not mentioned in the document']",1,Research publications,The principal goal of improving the spectral efficiency is to make more efficient use of the existing BSs and bandwidth by virtue of new modulation and multiplexing techniques.
What is the advantage of VLANs in terms of moving devices around? [IEEE 802.3],"['Network load is restricted', 'Additional security is provided', 'Broadcast messages are limited', 'No change in cabling is required']",3,Standards overview,"In a VLAN, moving devices around does not require any change in cabling, only a setting on the switch."
What are the challenges in applying matching theory to wireless networks?,"['Handling interference', 'Dealing with delay', 'Limited existing research', 'All of the above', 'None of the above']",3,Research publications,"The challenges in applying matching theory to wireless networks include handling interference, dealing with delay, and the limited existing research in this area."
What is the main advantage of using ParaDrop (Platform) compared to cloud data centers?,"['Reduced response time', 'Enhanced data security', 'Closer proximity to data sources and end users', 'All of the above', 'None of the above']",3,Research overview,"ParaDrop being closer to data sources and end users helps reduce response time, enhance data security, and protect user privacy."
What does the acronym SSRL stand for?,"['State-of-the-art Supervised Representation Learning', 'Self-Supervised Representation Learning', 'Semi-Supervised Representation Learning', 'Scalable Supervised Representation Learning', 'Supervised Self-Reflection Learning']",1,Research publications,SSRL stands for Self-Supervised Representation Learning.
Which layer of the OSI (open systems interconnection) protocol architecture is responsible for protecting the confidentiality of data transmission?,"['Application layer', 'Transport layer', 'Network layer', 'Medium access control (MAC) layer', 'Physical layer']",1,Research overview,"The transport layer is responsible for protecting the confidentiality of data transmission [11], [12]."
What can high contrast in the dielectric values of tissues result in when an EM (electromagnetic) wave passes through boundaries?,"['Decreased wave reflection and increased transmission', 'Increased wave reflection and decreased transmission', 'No effect on wave reflection or transmission', 'Increased wave frequency', 'Increased wave intensity']",1,Research publications,High contrast in dielectric values leads to increased wave reflection and decreased transmitted power.
What information triggers the activation or deactivation of access stratum time distribution for a UE? [3GPP Release 18],"['Start and stop times', 'Clock quality detail level', 'Coverage area information', 'Uu time synchronization error budget', 'UE reconnection indication']",2,Standards specifications,"If the AMF receives coverage area information as part of the Access and Mobility Subscription data, it determines whether to enable or disable access stratum time distribution based on the UE's movement inside or outside the coverage area."
What does the study with human volunteers exposed at 100 MHz suggest about the thermal hazard to a pregnant woman or the embryo/fetus? [IEEE C95.1],"['Exposure is likely to cause a temperature increase in the fetus', 'Exposure is unlikely to cause a temperature increase in the fetus', 'Exposure is likely to impair thermoregulation in the mother', 'Exposure is unlikely to impair thermoregulation in the mother', 'Exposure poses no risk to the embryo/fetus']",4,Standards specifications,"The study with human volunteers exposed at 100 MHz showed that even at levels eight times the upper tier ERL, there was little change in core body temperature and no change in metabolism, indicating that exposure poses no risk to the embryo/fetus."
What is the purpose of the network slice subnet management function (NSSMF)?,"['To manage and orchestrate P/V-NFs and their resources', 'To map and implement US-NSIs in an efficient manner', 'To report to the network slice management function (NSMF)', 'To provide policy rules to control plane functions', 'To manage fault, configuration, accounting, performance, and security (FCAPS)']",4,Standards overview,"The network slice subnet management function (NSSMF) manages fault, configuration, accounting, performance, and security (FCAPS) of the subnets."
What does the ground truth data represent? [3GPP Release 18],"['Predictions generated based on a ML model', 'Actual measured data observed at the time of prediction', 'Analytics accuracy using multiple ML models', 'Analytics output triggered by the ML model']",1,Standards specifications,The ground truth data represents the actual measured data observed at the time of prediction.
What does CFI stand for? [3GPP Release 15],"['Carrier Frequency Indicator', 'Control Format Indicator', 'Channel Frame Initialization', 'Converged Frequency Indicator', 'Codebook Feedback Indicator']",1,Standards overview,The document states that CFI stands for Control Format Indicator which indicates how many OFDM symbols are used for the Physical Downlink Control Channel (PDCCH).
"In the AG (air to ground) channel, what is the estimated path loss exponent (PLE)?","['0.93', '1.50', '2.32', '2.51']",1,Research overview,"Based on the information provided, the estimated path loss exponent (PLE) for the AG channel is 1.50."
What is the main advantage of the patch-based attack that can potentially hide all objects in a scene without overlapping with any of them?,"['Ability to hide objects that are far from the patch', 'Ability to disable the detection of moving objects', 'Ability to change the appearance of objects', 'Ability to hide objects regardless of their location', 'Ability to hide objects even when the patch is moving']",3,Research publications,"The main advantage of the patch-based attack is the ability to hide all objects in a scene without overlapping with any of them, regardless of their location."
Which of the following is NOT an important factor for formulating an appropriate quantum benchmark?,"['Number of qubits', 'Gate set', 'Error rates', 'Connectivity', 'Computational power of classical computers']",4,Research overview,The computational power of classical computers is not directly related to benchmarking quantum computers.
In which type of terrain cover are AG (air to ground) propagation measurements most likely to be affected by man-made structures?,"['Open space', 'Hilly/Mountainous', 'Forest', 'Water/Sea', 'None of the above']",0,Research overview,"AG propagation measurements in urban and suburban areas, which fall under the open space category, are most likely to be affected by man-made structures such as buildings, roads, and bridges."
Which network architecture plays an important role in network management due to its flexibility and programmability?,"['Star topology', 'Mesh topology', 'Hybrid hierarchical topology', 'SDN-based network', 'Cluster-based network']",3,Research overview,SDN-based network plays an important role in network management due to its flexibility and programmability.
What is the purpose of the round constant in AES?,"['To perform a byte substitution on each byte of the key', 'To perform a circular shift on the key', 'To perform an XOR operation on the key', 'To eliminate symmetries in the key expansion', 'To generate the round keys']",3,Research publications,The round constant is used to eliminate symmetries in the key expansion process.
What did the study item on enhanced LTE support for aerial vehicles in Release 15 identify as a potential solution for interference detection and mitigation?,"['Deploying more UAVs in the same area', 'Expanding LTE networks for better coverage', 'Increasing the transmit power of UAVs', 'Implementing DRL algorithms for interference management', 'Using directional antennas at the aerial UE']",4,Research publications,The study item identified using directional antennas at the aerial UE as a potential solution to mitigate interference issues in both uplink and downlink.
What is one of the challenges in deploying joint sensing and communication terahertz systems?,"['Non-stationary data', 'Scarcity of data', 'Failure of centralized methods', 'Real-time response', 'Conflicting modes of operation']",4,Research overview,Deploying joint sensing and communication terahertz systems requires resolving conflicting modes of operation.
